company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_risk_flag,net_debt_cr,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score
ABB,2023-03,17.74163395027108,22.546270330902974,29.767879548306148,34.413813995758865,20.82967515364355,0.03544542032622334,False,85.0,,False,113,1.1740561896400352,-922.0,4699.0,87.84819592447187,Capital Intensive,-76.45107794361525,447.0,1518.095238095238,73.0,113,3777.0,9.331074852709765,10.155044260938272,12.460490775955124,16.968927101051246,18.8021685142332,20.66736272823102,17.01308782012354,18.787062786952035,20.72017630833807,67.41
ABB,2024-03,20.533424517011454,24.84185330825782,32.46823465801568,36.541512427287145,23.127286732139417,0.022438496891051634,False,141.75,,False,83,1.1263238975544,1095.0,4943.0,84.51017267909045,Capital Intensive,75.36132140399174,565.0,1761.4285714285713,73.0,83,6038.0,10.713721789385655,9.716101277290168,9.898290364739681,20.232437941096727,21.69314043381163,19.75338045077737,20.24167817921956,21.65851677781967,19.772344260550724,94.7
ADANIENSOL,2014-03,,,0.0,0.0,,0.0,False,,Debt Free,False,0,,0.0,0.0,,,,0.0,10.0,,0,0.0,,,,,,,,,,38.33
ADANIENSOL,2015-03,-5.343511450381679,77.09923664122137,-0.6463527239150507,0.5934718100890208,-0.06091193873999304,8.95752539242844,True,1.4246575342465753,,True,9701,0.011399234249912982,-1899.0,1864.0,1422.9007633587787,Capital Intensive,-1880.19801980198,0.0,9.935779816513762,0.0,9701,-35.0,,,,,,,,,,18.26
ADANIENSOL,2016-03,16.773017319963536,87.83044667274385,13.77245508982036,12.143555121257885,3.1329814404903797,3.2129491017964074,False,2.0867293625914316,,False,8565,0.18678699131619275,728.0,816.0,37.192342752962624,Capital Intensive,37.77893098079917,3.0,24.29090909090909,0.0,8585,1544.0,,,,,,,,,,62.43
ADANIENSOL,2017-03,14.464534075104313,68.94993045897078,14.116050220563285,11.860426103002853,3.2472094293966123,3.045469969460468,False,2.2179203539823007,,False,8870,0.22449457497463118,459.0,1730.0,60.15299026425591,Capital Intensive,23.14674735249622,4.0,26.79090909090909,0.0,8975,2189.0,,,,,,,,,,63.15
ADANIENSOL,2018-03,28.98073022312373,71.65314401622717,18.87072808320951,13.630573248407643,6.620330147697655,1.7216443784051512,False,3.31489841986456,,False,10428,0.22843903851723138,-994.0,3192.0,80.93306288032454,Capital Intensive,-35.17338995046001,10.0,55.06363636363636,0.0,10428,2198.0,211.09178071953335,,,,,,,,,46.56
ADANIENSOL,2019-03,7.652292950034223,38.02874743326489,6.950142981474575,6.728176011355572,1.716935929725413,2.50366778565212,False,2.2386772106398274,,False,19801,0.2243688187235088,-459.0,3050.0,41.752224503764545,Capital Intensive,-16.52267818574514,5.0,73.11818181818182,0.0,20137,2591.0,49.32339852079905,,,14.95326996489721,,,18.56311014966876,,,34.6
ADANIENSOL,2020-03,6.184302733006307,37.29852838121934,8.30685963054477,9.418231791113147,1.7778449296164793,2.8528062124955875,False,2.019213583556747,,False,23933,0.2874770214801944,-206.0,5643.0,49.43062368605466,Capital Intensive,-4.837952090183185,7.0,77.26363636363637,0.0,24246,5437.0,58.33430720140576,144.37036240267406,,19.280776269879674,,,20.507113208761506,,,35.0
ADANIENSOL,2021-03,12.996171670360667,39.79447914567802,14.46350487722839,7.277725329038708,2.9837627792940737,3.0378966251821953,False,2.3925366084081245,,False,26653,0.22958782439746495,-225.0,4009.0,40.38887769494258,Capital Intensive,-5.69620253164557,11.0,81.08181818181818,0.0,27095,3784.0,36.02303315044746,35.240737223764505,,4.115285245860001,28.513389561027825,,3.228011545636722,29.674411610965823,,36.45
ADANIENSOL,2022-03,10.978859477704743,37.360099484810796,12.46847573892868,6.979781489388421,2.604078880836002,3.016443054574801,False,2.3221987315010573,,False,29341,0.23719029158941513,161.0,3936.0,34.96180493871025,Capital Intensive,3.8278649548264383,11.0,90.11818181818182,0.0,29902,4097.0,15.508428339343316,31.381577615305556,,30.277341516191925,24.332603568890065,,30.059144685138705,22.423992536427463,,60.41
ADANIENSOL,2023-03,9.636650868878357,33.98781313473256,10.90305557919823,6.323475086377366,2.3752132314766743,2.916843986722274,False,2.193815174397699,,False,32900,0.24647704516798932,-922.0,4699.0,35.34943203189649,Capital Intensive,-20.407259849490924,11.0,105.37219730941705,0.0,34270,3777.0,5.204992130714481,27.507937149916796,,21.968629219492808,2.3058763473555732,,16.260329205681458,1.9244876491456564,,34.75
ADANIENSOL,2024-03,7.201782380923707,34.38911302462817,9.461276797721698,7.915753052644284,2.043117291332126,2.93252116130053,False,2.284784965666787,,False,36304,0.2836960606785336,1095.0,4943.0,29.764557114469802,Capital Intensive,19.17352477674663,10.0,113.37219730941705,0.0,37070,6038.0,18.715011322879892,17.85124994851739,,-2.4904490462308027,16.42972571572392,,-3.1270693848535758,14.869835499703509,,59.63
ADANIENT,2013-03,2.6264150943396225,12.983288409703503,5.692652832305104,4.103474120447932,1.0887540113166057,3.240418769863526,False,2.2325315005727377,,False,69009,0.41453996120531683,-7124.0,14790.0,31.892183288409704,Capital Intensive,-118.31921607706361,15.0,194.5090909090909,10.0,69332,7666.0,,,,,,,,,,29.93
ADANIENT,2014-03,4.815549529546654,17.07645549347553,11.1377699204445,6.434293951136969,2.240436233086654,3.0298438355011155,False,1.84815009644047,,False,71692,0.4652503767929417,221.0,8007.0,14.572224143265327,Capital Intensive,2.3553234573164232,20.0,215.97272727272727,7.0,71980,8228.0,,,,,,,,,,59.46
ADANIENT,2015-03,3.564725044597844,19.312805398278137,8.931902985074627,8.168418741251065,1.757982833274683,3.248250932835821,False,1.876700680272109,,False,82827,0.4931608500742055,-2933.0,11465.0,17.784844489257736,Capital Intensive,-23.55823293172691,18.0,233.8909090909091,8.0,83571,8532.0,,,,,,,,,,33.21
ADANIENT,2016-03,2.9404845918607387,4.951776052693484,7.4749588877261175,4.2092973238700955,2.399289810216176,1.4328748691882194,False,2.0103168754605747,,False,18364,0.8159504786583172,3287.0,1825.0,5.366384380145848,Moderate,195.19002375296913,9.0,121.61818181818182,4.0,19169,5112.0,-9.822320328171163,,,-6.3622641625924015,,,-15.65673346982508,,,63.09
ADANIENT,2017-03,2.5319574083705145,5.206251881860236,6.543576683644596,4.53661883254245,1.9428283379891202,1.4746745897000566,False,2.1089896579156724,,False,19804,0.7673226775325029,-686.0,1460.0,3.996386828346974,Moderate,-36.067297581493165,9.0,128.5090909090909,4.0,20846,774.0,-12.720191700604078,,,-29.554925791176643,,,-23.36905676064469,,,37.6
ADANIENT,2018-03,1.653490702594366,5.673087629439929,3.936642587315263,4.19849660820143,1.0530981295984398,1.1688647359003248,False,1.9208,,False,16176,0.6368938923854268,-4707.0,7649.0,21.2921723638793,Capital Intensive,-230.96172718351323,7.0,137.1727272727273,6.0,17637,2942.0,-17.708767504438207,-4.9788782627487205,,-36.29911390169962,-13.378074899332725,,-27.008014335201846,-14.137929651551106,,37.38
